label,sentence
0,回复@TJTV刘博君:恩 我翻箱倒柜找了运动服在家换好 。。换了新买运动鞋。。。 还拿了洗漱准备舒舒服服洗个澡，结果全泡汤了。。。 //@TJTV刘博君:回复@开心韩峰: 最后一天能赶上也行啊。同情。[衰]
1,[哈哈][哈哈][哈哈]//@FAY的米钵: 哈哈哈哈 小钊子~下次你也这么干~//@金钊的今朝: 太有才了！！
1,体育老师无辜中枪[哈哈][哈哈][哈哈]
1,你是来自赛博腾的汽车人啊 //@环球汽车:丢掉老气臃肿的保暖内衣吧，超保暖的打底衫更修身更时尚[爱你]；促销才5折，妞们囤货啦>>>链接：http://t.cn/zjVY8Hr
0,跟皮说我们吃吧，忽然意识到我其实想说我们睡吧//@Bubu2206:好吃，可惜我不?做[泪]
1,好文章 //@穿梭苏沪:[哈哈][哈哈][哈哈][哈哈] //@全球热门伤不起:很给力的作文[哈哈]
1,哈哈 这个造型凹的好！[嘻嘻]
0,回复@狼忆琼:追打小三的疯婆子[哈哈] //@狼忆琼:嫂子黑涩会出身的吧。[衰]@宅女高珊 @歌手含笑
0,#食谱#每日加餐：（半杯中药汤子+一管口服液+胶囊适量+水丸儿一瓶盖）×3 [泪]才几岁就吃上抗疲倦药物了我特么容易么我。。。
0,回复@超载飞行:哈哈，光顾着起降啦！！ //@超载飞行:总觉得航空在线的时间好短 加上路况和广告 好像还没说完就结束了[失望] //@1039志梅:转发微博
1,//@气质女皇必修课: 准妈妈爸爸们为了孩子快点来学习吧！！[亲亲][礼物][心]
1,[哈哈]第一张趴着的狗狗是小黄，游客中心游荡的小吃货。[挤眼]
0,//@全震动: //@走上街头: [偷笑] //@亦吾亦舞:怪不得姐情路这么不顺捏，原来没显露身份！[挖鼻屎]//@走上街头: 正在起诉奥巴马的三一重工的老板梁稳根在大会上说：我的财产乃至生命都是党的，随时可以奉献给党。。。这也罢了，他居然还说党员找对象更容易，老婆更漂亮。[怒]
1,室友界的良心[鼓掌][鼓掌][鼓掌]
1,#这是一个关于王祖蓝的故事#“用生命在模仿”的@王祖? ，再度带来惊喜，挑战“默片搞笑大师”卓别林！“为了你一个微笑，我怎样都值得！”回顾王祖蓝@百变大咖秀 的所有经典造型，感谢百变大咖们带给我们的欢笑~ [爱你][爱你]http://t.cn/zTzwRVv
1,2013.01.13 六点多开始，一直折腾到八点，手打蛋白到干性发泡，烤了一个小时，人生的第一个戚风啊！！！太特么好吃了！！！必须cc给@billie爱巧克力 @内切圆85 ，不要脸的各种求表扬[爱你][爱你][爱你]，ps：@--花子 @羊小铮 @Elsummer 好吃的明天我都不舍得带去了好吗！！！[挖鼻屎]
1,怎么样[嘻嘻]@游卡_杜彬 @红胡子皇叔 @KayaK777
1,回复@轻松调频Lucy:谢谢lucy每天送来的音乐咖啡，让我轻松面对每一天 //@轻松调频Lucy:感恩姐姐的美好音乐，感恩你出现在我的生命中[可爱] //@常静:今天是感恩节，我正纠结先感谢谁好呢，哈哈，谢谢中山：）下周见哦，一定用我的音乐回抱你们！
0,[抓狂]奋斗！ //@紫金太平:昨晚与160名80后、90后的刚走进本系统的同学们进行了交流。他们意气风发，激情飞扬，才华横溢，健康阳光，非常可爱。期待他们今后到工作岗位上勤奋上进、谦虚好学、努力工作，在漫漫的人生路上顺利成长，做一个大写的人！ @多多侬 @米老虎358 @酒色人生须尽欢 @秋晴望 @小车
1,再次感谢大家对小弟的厚爱，到目前我已收到4564条新年短信了，希望大家如在发祝福可到微博或微信，手机已开始爆蹬，平均一分钟不到一条短信，充电都充两次了，手机根本没法正常使用!十分感谢大家的好意!祝新年快乐！[发红包][发红包][发红包][发红包][发红包][嘻嘻]
0,积重难返 //@杨东平:转发 //@陈有西: 回复@Dr_Ma_of_PUMC:[泪]  //@Dr_Ma_of_PUMC:中国现在的社会环境和文化土壤，只配产生百度这样的流氓货色，谷歌只能被淘汰出局，此逆向淘汰法则已经持续两千年。除非彻底改变，否则即便百度倒了，后继者也会落绎不绝。[泪]
0,[衰]可惜我写完了才看到这一句
1,又一个逆生长的！不过我还是真心想知道电影到底有没有＂俏江南＂赞助咩？[酷][可爱][闭嘴]
1,生日快乐@小坏蛋克里斯的清洁袋  //@Catlin薇薇:你最会说话啦[爱你][爱你][爱你]@小坏蛋克里斯的清洁袋 叔叔生日快乐噶
1,看世界美景，做+尝天下美味啊 ！//@西餐侯老师: 奢望！气候、土壤、空气、物种....太多的奢望[泪] //@三摩地帮主:但世界美食真的太遥远了，@现代可汗 快回来吧，我领着雾霾欢迎你[嘻嘻][嘻嘻][嘻嘻][嘻嘻]除非你给我带好吃的，那我就给你配个氧气机[哈哈][哈哈][哈哈]
1,大爱无疆，谢谢亲爱的！[亲亲][心]
1,毕业快乐[可爱] //@刘思雨Jerry:恭喜海音毕业，今天有幸被邀请去参加典礼，认识了不少新朋友，虽然极度困，但是还是感觉非常充实，一起加油！既然选择前方，就注定风雨兼程！@四水归堂摄影创意
0,我受不了，王洛丹，能不捏嗓子么？[抓狂][抓狂][抓狂]
0,气死我了！老人声嘶力竭的叫着救命啊。这位媳妇，你也有母亲吧！你以后也会成为母亲吧。就不怕报应啊[抓狂][抓狂][抓狂]
1,信息不实吧，胡扯吧，我有好多轿车了~//@乔木: 还有吗？@小涛 //@金花和金瓜:高手都在民间！[哈哈] //@?弦?林:我家有好多好多了！谁有兴趣快带着钱来联系我啊！[酷] //@徐子升: 擦，卖一张换辆新车 //@金花和金瓜:这版啊？？我有好多新票呢，还都连号！小时候给的压岁钱没舍得花！[偷笑]
1,晚饭过后出去遛弯收获的战利品[爱你][哈哈][哈哈][哈哈]  #美图贴贴iPhone版#
0,"想吃番茄草虾和干炸鸡翅[馋嘴],可是我周日不上班[泪]  //@天下无敌的king：报社不过啦？晚上是给客人吃的吧[晕] 比较关心下周一还有肉么…"
1,回复@姚璐璐:明天会去靠近巴拿马的加勒比海边，据说那像牙买加。[嘻嘻] //@姚璐璐:回复@千阳游走世界中:真是太讨厌了。那你现在还在哥斯达黎加？有啥推荐的么
1,回复@我定成为峰: [给力][威武] //@我定成为峰: @老头夜话  我跟你，一起去九十九顶[嘻嘻] //@老头夜话:法2:1英，盘口1球；瑞2:0乌，盘口2球。 //@黄宇征: 乌克兰胜。 //@张涌V博:耐不住了，英格兰0：0法国。瑞典2：1击败乌克兰，就是它了。
0,太多了[泪] //@美容健康:提升宝宝智力的40个方法
1,不行了啦，这位美妞 @ginny砚 你肿么点的都是偶爱的歌儿，结果变成偶们俩合唱《肉蒲团》主题曲《极乐》，行不行啊，男生们都木听过，两个女生natural-high（自然high）[哈哈]
1,接下来是9.28山西演唱会，我会去，正好秋天长假，以听他为旅行第一站。//@力波-没时间工作:我一直喜欢异地看演唱会， 飞行捧场，旅行的开心。[哈哈]//@狂妄的乌鸦-:波哥不仗义！[哼]
1,看着就眼馋！不，还有嘴馋！哈喇子！//@川豪麻辣香锅:[哈哈]够味儿吧。。。
0,回复@亚洲大酒店:[衰]还好。。。 //@亚洲大酒店:欢迎，那么晚还不休息啊，辛苦啦
0,[?眼]?了活?新剪了一???上?：Travel with Vanne & Ariel http://t.cn/zT1Pjfe (?酷??位址) [可?]?大家多多支持?投票！加拿大，你来代言！2013 http://t.cn/zTMQZpX (活?投票位址) 5月24日投票截止～[抓狂]
0,"痛苦过，才知普罗大众之痛苦，必将鞭策智者前行！ //@阮筠庭:「???不能教?我?什?, 然而, 痛楚, 苦?和障??能?化我?, 使我??得更好, 更?大, 同??我???到生活在?下?刻的重要性.」[泪]//@安潇AnnXiao: Abramovi? 和Ula在同一天出生，1988年分手。2010年Ulay再次出现，和解。[泪][泪]"
1,各位小伙伴们 明信片已寄出 请记得查看自家信箱[嘻嘻]
0,?注弱?群?！ //@杜楠爆料://@fen1234: [泪]//@布衣的呐喊: 感谢党和政府啊?????让我内牛满面啊[可怜]
1,以前用的意大利百利的鱼胶片，不算最好的，能用。今天收到货了，德国大卫牌的鱼胶片，看了下鱼胶片的外观，比百利好多了，不过还是要试用下再说！[嘻嘻]
0,[泪] //@小S://@蒋欣:原?那些所?的＂品?＂就是??＂孕育＂出的！！??＂??＂有何不同？！?了??了眼黑了心！！以??代替??！?有??便少了?害！！//@林园:品种狗有那么重要吗！[怒][怒]都是生灵，都有生命！以领养代替购买吧[爱心传递]
1,从来没看过，不是不想看，实在是看不下去。[嘻嘻][嘻嘻]//@黎津平:转发微博
1,回复@Annie楠楠:您可以拨打62478881-677/1101咨询预订[可爱] //@Annie楠楠:预定婚礼电话有吗？朋友结婚想定
1,将北京美食进行到底！松子料理第一站！[哈哈][哈哈]
1,#小?故事#?少第一次登上我的杂志，很有范儿的追镜头……那一年那样简单……全国各大雪场、装备专卖店均可购、Show……[嘻嘻][嘻嘻]@美树001 @怀北国际滑雪场
0,额。。。 //@全球流行风尚:[泪]
0,太可怕啦，不会是有人放的火吧，可怜的猫猫狗狗呀[泪]
1,"[给力]“世界COSPLAY峰会”,规模越来越大，とても?しみです[鼓掌]"
1,王二小啊。 //@李伊琳:这大早的，给乐着了[偷笑]//@李俊: 他叫王二小//@苏湘迅: //@孙雪东:也就是这么守规矩的日本人[嘻嘻] 。//@老沉: //@龚晓跃:[哈哈]顿时不困了。//@鹦鹉史航: 这么说，伦敦奥运会的开幕式，还是没留下什么遗憾的。。 // @大松鼠酱 :带路的孩子姓王，叫二小
0,我在现场早已泪崩[泪][泪][泪]她一定会好好活下去的！
1,看来这一天的天气不错呦 阳光明媚 天空湛蓝 祝您也好心情 入住愉快[太开心]
0,那我该怎么办？ //@王岩Annie:[衰] [衰] [衰] // @上海白瑞 ：幸亏早已经变成框架眼镜！
1,//@大许Leslie:笑死了[衰]//@丸子潇潇的围脖://@疯狂狂的石头: //@英淘圆子0125:[哈哈] //@Juliayli:转发微博
1,谢谢！有些客人一坐下来就先预订一客tiramisu！[哈哈]
0,这个说的怎么那么像！哈哈。@麦斯蒙市场咨询  //@傲然王:洋洋洒洒千百字，其实不过三个字：不分开！ // @Dream佳梦 :  @唐一申   你看这经历像谁？//  @佩-王儿  :[泪]生命轮回，情满心头。
1,回复@豆果爱美食:对呀，这有什么好奇怪的吗？[嘻嘻] //@豆果爱美食:八二年[吃惊][吃惊][吃惊] //@俺叫老鬼:魅力火热吐鲁番！ //@声声入耳761:散发魅力的吐鲁番[推荐] //@云游四海keke0606:永远的吐鲁番[哈哈][带着微博去旅行] //@俺叫老鬼:近四年前的文章喽！ //@俺叫老鬼:魅力火热吐鲁番！
0,[衰]//@孙礼纪事: [衰]
0,又要下暴雨了，都提早下班了。。但是！我没带家门钥匙！！[汗][衰]
1,欢迎到杭州水晶视察工作[哈哈]
1,[太开心][给力]
1,回复@米唐乡氏:[哈哈][哈哈] //@米唐乡氏:[挖鼻屎]站着看记不住
1,"今天数伏第一天.一年中最炎热的时节由此开始了~[晕]伏日宜吃面食，北方有句俚语，叫做“头伏饺子二伏面，三伏烙饼摊鸡蛋”。这一习俗至少三国时期就已开始,《魏氏春秋》和南朝梁宗懔《荆楚岁时记》中都有关于此的记载.今天中午亲准备吃些什么?要不也来顿饺子应应景?[可爱]"
1,回复@寒雨笺:赶紧去报名！ //@寒雨笺:我报名！[可爱][太开心]
1,这是一个热死没人管的季节[汗][汗][汗][泪] 爬丹霞山，从夹缝中终于爬上山，经过了嘉遁亭，来到了99天梯下山，我完全傻了。吓傻[黑线][奥特曼] 热傻? @秀媛大牌 每次见你都这么瘦[爱你][爱你]  我在这里:http://t.cn/zluTyLZ
1,[嘻嘻] //@竹子爱可乐豆丁nee:恭喜大婷[心]
1,动物园园长造吗！？[嘻嘻]//@艾君JZ: //@焦作日报: 大叔，你在哪里搞来的小老虎呀？你牵着老虎上街回头率很高哇
1,[嘻嘻]这是云南华侨城员工关怀计划的生日活动，入职满3个月的员工都可以参加，为大家送上生日祝福，让大家留下一段美好回忆[耶]//@仝大爷是个妞: 我下周一生日啊！
1,二木好漫画[酷]现场好温馨[太开心]。@Apple 的合影很迷人
0,//@玩家传播老张:[抓狂] 你好毒 你好毒 你好毒毒毒//@永远在路上的豆子：够狠。。。。老板喜欢
1,回复@紫色流星云30:体验排队。 //@紫色流星云30:回复@ameatnet:就是凑个热闹，看看到底有多火爆。[嘻嘻]
1,[哈哈][晕][汗]//@黄茜:真不容易啊，，，[汗]//@迈克陈: [晕]
0,9月30号上午11点...要如何赏月？去欧洲美洲？[晕]
1,今晚，中环。拍得不好，请表扔砖。[可爱]
0,铁道部各种扯淡！//@元芳时评: 操你妹铁盗部[怒]允许自己让用户闹心，不允许别人帮用户省心。自己没有做成事的本事，但是却有让别人做不成事的本事。[鄙视]
1,#海螺沟花语#作为全球生态系统类型和生物物种最为丰富的地区之一，海螺沟保存有大量古老的生物类群。在那些冰川瀑布、高原温泉的掩映下，海螺沟的报春花开得格外的妖娆、娇俏。虽然海螺沟位于川西高原，到处都是高原冰川、原始森林覆盖，但盛开的报春花无疑给景区增添了无穷的生机与活力。[可爱]
0,看到它能想到乱糟糟的皮皮吗？[晕][疑问]@马_小川 @vivian田小小 @胡大媛子
1,哥，你好靠谱啊！[鼓掌]
0,糟糕！头疼[泪][泪]
0,难道我上次说招行的线下服务比线上要差是普遍现象……[怒] //@锦江之星王志和:要敢于面对顾客的投诉，投诉你，是因为在乎你！
1,[心]//@黄xiao婉: 表示同感，发烧ing.大家都辛苦了！[爱你][爱你] //@王凯沐:拍到发烧，嗯，很爽[晕][晕]
0,记得偶然一次爸妈说过，等他们不在人世了，哥哥是我唯一的亲人时，立马崩溃。[泪] 为嘛提这个呀！ //@耿志民:小朋友都是这样的。他们会跟你谈起“死”这样的问题，并且悲伤得令你心碎~
1,【#我爱满堂彩#――精彩回顾】堂堂七尺男儿？@Mr烧饼烧饼烧烧饼饼 你哪有七尺！你个武大郎不要再侮辱七尺了[哈哈] 瘦死的骆驼比蛤蟆大？你不要再侮辱骆驼和蛤蟆了[抓狂]长成这样的媳妇@德云三队孟鹤堂 也敢往外借，天打雷劈呀[偷笑]@郭德纲 @德云社李云天 @北京德云社 http://t.cn/8knJlJq
0,必须预热，而且时间要很长[泪]
1,//@小曼__Amanda: 祝贺！请朋友们关注。//@社会企业家: 祝贺！[鼓掌]//@爱德面包坊: 预告一下，下个月我们将在游府西街开第二家门店哦~[江南style] //@王_心_诚:爱得什么时候开分号啊 //@爱德面包坊:这位是我们@南信赛扶 的非常给力的志愿者哦~爱德爱你们，非常感谢你们！ [爱你]
1,找了个台湾台看Grammy直播~~boss你们今天别来office好么~~让我安心的看会儿~~[哈哈]
1,[抱抱]加油哦~~也感谢你们能同孩子们分享快乐。
1,→_→//@不加V:[哈哈]//@陶然万柳世界: //@斯大文StephenLuk: →_→ //@异灵零壹:→_→//@当时我就震惊了:→_→ //@真机智:→_→ //@赵与:→_→ //@厕所的灯: →_→ //@宋妍salty:→_→ //@cucn201NG熊王: 卧槽！ //@撒贝宁: 回复@触手蜀黍:我上过，又怎么样呢？ //@触手蜀黍:人家上过章子怡，你上过？
0,老鼠屎。 //@新浪厦门:【比黑心油还狠！沙茶酱用过期20年腐鱼做原料[怒]大嶝有售！】台湾黑心油的制造者大统长基食品厂再曝丑闻，20多年前的腐鱼被消费者吃下肚，大统所出产的沙茶酱原料都是“垃圾”。这些黑心沙茶酱在大嶝小商品市场也有少量销售，大家小心！详情：http://t.cn/zRXqSC1
1,下雪咯?[鼓掌][鼓掌][鼓掌]?今冬包头第一场雪[哈哈][哈哈][哈哈]
1,姐妹姐妹姐妹！！！//@_卖姑娘的小火柴__:@张嗣彬 @乔静心 我们我们我们是清白的[太开心] //@我就是我-涛:太混乱了，还是爽哥最仗义，他们俩都不靠谱！[偷笑]
0,回老家给爷爷过八十岁。这天灰蒙蒙的。心情还很糟糕。车开了好好的还查身份证。我去了。。。龟速前进[怒]
0,做企业就是这样苦！ //@查立:看图说话。 //@马志海: 我靠啊~~~[晕]  //@丘克军: [什么叫应发工资？什么叫实发工资？--不看不算不知道，看了算了吓一跳？]
0,好办法，值得全球推广[衰]//@村民乌笛:这个茄子很别致啊！ //@笑话大王彭彭:我滴天呢，讨论正事呢，你往哪看呢。傻样！ //@拉浠不为奇: 这个军礼有点意思！
0,终于还是把自己折腾到医院了！！！[泪][泪][泪][泪]求关心[泪][泪][委屈][委屈]
1,祝度假愉快哦~~//@??Don: 我们到了 //@没有蛀牙的LEO:回复@琦琦丹:欢迎来斐济度假[鼓掌][鼓掌][鼓掌] //@琦琦丹:我也还有三天就到咯? 好兴奋！ //@没有蛀牙的LEO:回复@Ash_ash: 好滴~~ //@Ash_ash:回复@没有蛀牙的LEO:到时见[嘻嘻] //@Ash_ash:超美，还有三天就来啦
1,//@清溪-红叶: #何润东# 二郎神[威武] //@Rachel小沛沛:期待二郎神！[爱你] //@我为润东狂:#何润东# 我的天神[太开心][太开心][帅][爱心传递]
1,[哈哈][哈哈] //@超级实用小百科:这哥俩分工真好[太开心]@全球时尚最前线
1,//@彼岸花开在别处: [爱心传递][爱心传递][爱心传递]//@尚雯婕工作室:#2013MusicRadio我要上学海马汽车爱?回家助学行动#爱心晚会，我最亲爱的尚姑娘在现场！[爱你]
0,[哈哈] //@悟空INTRAVEL:[衰]  //@穷游网:↓_↓
0,传媒经济学最后一节课。。。才发现老师是个帅哥。。。原来这是我来的第一节课[泪]
0,回想就这时候的海工应该一进三号门就能闻到桂花香了吧。想回武汉了[泪][微风]
1,[首发]//@阿瑞摄影: 回复@鸢尾:我们负责现场直播。[偷笑][嘻嘻][哈哈] //@鸢尾:回复@新浪图片博客活动花絮:我是场外热心观众[哈哈]
1,回复@Antonio先生:就是啊。。。 //@Antonio先生:朵拉系列啊[嘻嘻]
1,你圈的人全没回来啊[嘻嘻]
0,真不厚道，我得笑笑 //@新民周刊:真是震捍啊！//@周一清：[衰]，被撼到了。。。 //@王永：此撼非彼撼，你懂的。
0,这妞要火。[嘻嘻]但求你别再用这样幽怨的眼神了。实再受不了[泪]
1,上海快要零度，北京都快要下雪，南边的桂林虽然没有海南的火辣，但天气还是蛮怡人的哈！漓江是透绿的，银杏林是金黄的，桂林ClubMed的feel更是五彩缤纷哒～ [哈哈]
0,没办法，不然走不了嘛[泪] //@修心则安:[赞]进藏驾车有?气！
1,老公和我不约而同都带回来了蛋糕[爱你]这是我准备的
1,早就说过啦，做最好的自己[鼓掌][鼓掌][鼓掌]
1,用粗茶淡饭养胃，用清新空气洗肺，让灿烂阳光晒背，得空和朋友聚聚会，忘却辗转尘世的累。[鼓掌]
1,太方便了[鼓掌] //@享--受--生--活:刚参加完工行开业典礼，建行月底也要开业，互通货币能为旅游业带来光明！
